"","employees","base_salaries","salary_adjustments","salary_2018","rasise"
"1","Employee  1",41758.1711453386,2473.79512526095,44231.9662705995,TRUE
"2","Employee  2",45063.6936491355,7344.55670346506,52408.2503526006,TRUE
"3","Employee  3",47222.8475916199,-1290.79377627932,45932.0538153406,FALSE
"4","Employee  4",44512.9550714046,2305.2190116141,46818.1740830187,TRUE
"5","Employee  5",47472.0808188431,2147.71631755866,49619.7971364018,TRUE
"6","Employee  6",46720.209645573,9233.33314363845,55953.5427892115,TRUE
"7","Employee  7",41235.7132090256,-4165.81840137951,37069.8948076461,FALSE
"8","Employee  8",46987.8982449882,9364.33559167199,56352.2338366602,TRUE
"9","Employee  9",44909.0553866699,1916.55118833296,46825.6065750029,TRUE
"10","Employee  10",45457.377822604,-1753.95334721543,43703.4244753886,FALSE
"11","Employee  11",48290.2392279357,-2426.18775111623,45864.0514768194,FALSE
"12","Employee  12",44592.2168134712,9084.4113950152,53676.6282084864,TRUE
"13","Employee  13",42500.4562269896,7666.75103339367,50167.2072603833,TRUE
"14","Employee  14",49064.3847826868,-4891.52997964993,44172.8548030369,FALSE
"15","Employee  15",48717.9550644942,-1806.65211519226,46911.3029493019,FALSE
"16","Employee  16",45282.6486015692,-4628.11463628896,40654.5339652803,FALSE
"17","Employee  17",43772.551799193,6210.37640376016,49982.9282029532,TRUE
"18","Employee  18",41489.8529578932,-959.29209725,40530.5608606432,FALSE
"19","Employee  19",48440.9345197491,-365.211641183123,48075.722878566,FALSE
"20","Employee  20",42688.6727381498,-240.371861727908,42448.3008764219,FALSE
"21","Employee  21",49186.1940035596,-1887.36274256371,47298.8312609959,FALSE
"22","Employee  22",49339.3244524486,4517.21047400497,53856.5349264536,TRUE
"23","Employee  23",45262.473160401,1175.04234891385,46437.5155093148,TRUE
"24","Employee  24",42880.0733061507,-4765.23830438964,38114.8350017611,FALSE
"25","Employee  25",49617.6291722804,-4513.44743836671,45104.1817339137,FALSE
"26","Employee  26",41838.6416626163,4736.01073143072,46574.652394047,TRUE
"27","Employee  27",49322.7800587192,2092.81207527965,51415.5921339989,TRUE
"28","Employee  28",45650.3803050146,7271.48483274505,52921.8651377596,TRUE
"29","Employee  29",46216.4453370497,354.571420466527,46571.0167575162,TRUE
"30","Employee  30",49730.2693151869,2050.23918068036,51780.5084958673,TRUE
"31","Employee  31",46541.1434974521,4328.3051403705,50869.4486378226,TRUE
"32","Employee  32",44279.203962069,2700.21265023388,46979.4166123029,TRUE
"33","Employee  33",46101.9863677211,4002.20589130186,50104.192259023,TRUE
"34","Employee  34",44870.8270653151,8544.73940213211,53415.5664674472,TRUE
"35","Employee  35",47143.3137729764,2617.64333583415,49760.9571088105,TRUE
"36","Employee  36",40549.5567247272,6037.54271636717,46587.0994410943,TRUE
"37","Employee  37",42255.4270154797,5264.80458211154,47520.2315975912,TRUE
"38","Employee  38",40705.5743411183,3949.92045243271,44655.494793551,TRUE
"39","Employee  39",44714.6907728165,-1232.49214957468,43482.1986232419,FALSE
"40","Employee  40",47136.2850721925,-2170.64011958428,44965.6449526083,FALSE
"41","Employee  41",43230.6921947747,9282.7223520726,52513.4145468473,TRUE
"42","Employee  42",48024.4718305767,2943.33342229947,50967.8052528761,TRUE
"43","Employee  43",48169.4811256602,-1715.67544457503,46453.8056810852,FALSE
"44","Employee  44",44718.4920031577,-2577.40729721263,42141.0847059451,FALSE
"45","Employee  45",47323.0619425885,5851.34318331257,53174.4051259011,TRUE
"46","Employee  46",47057.6896611601,7651.67569858022,54709.3653597403,TRUE
"47","Employee  47",47470.2752078883,4412.16331208125,51882.4385199696,TRUE
"48","Employee  48",46286.8085736409,9885.20951126702,56172.0180849079,TRUE
"49","Employee  49",46321.071984712,5452.21385778859,51773.2858425006,TRUE
"50","Employee  50",40416.9992846437,2014.96327412315,42431.9625587668,TRUE
"51","Employee  51",44227.8391448781,8106.33354005404,52334.1726849321,TRUE
"52","Employee  52",42393.0211481638,73.629206744954,42466.6503549088,TRUE
"53","Employee  53",45788.3945526555,8685.09185267612,54473.4864053316,TRUE
"54","Employee  54",43437.0320430025,5412.30178787373,48849.3338308763,TRUE
"55","Employee  55",45649.2894748226,7903.00486143678,53552.2943362594,TRUE
"56","Employee  56",45293.1058872491,8332.76660297997,53625.8724902291,TRUE
"57","Employee  57",40824.1131389514,1848.45554525964,42672.568684211,TRUE
"58","Employee  58",45156.693328172,2253.23089631274,47409.9242244847,TRUE
"59","Employee  59",48389.9894403294,2409.06514460221,50799.0545849316,TRUE
"60","Employee  60",46167.8710137494,2730.44714587741,48898.3181596268,TRUE
"61","Employee  61",48942.4554724246,3995.07859838195,52937.5340708066,TRUE
"62","Employee  62",45194.9713286012,5123.63708927296,50318.6084178742,TRUE
"63","Employee  63",48540.8076969907,2313.81288263947,50854.6205796301,TRUE
"64","Employee  64",41336.1481204629,6928.39774303138,48264.5458634943,TRUE
"65","Employee  65",48398.2487372123,-4918.61746530049,43479.6312719118,FALSE
"66","Employee  66",48056.366413366,-270.453083794564,47785.9133295715,FALSE
"67","Employee  67",46573.6077167094,7960.12743026949,54533.7351469789,TRUE
"68","Employee  68",41434.8990144208,5805.60122383758,47240.5002382584,TRUE
"69","Employee  69",43228.8033585064,7688.01118247211,50916.8145409785,TRUE
"70","Employee  70",48171.3952403516,3225.36622639745,51396.761466749,TRUE
"71","Employee  71",41111.1696297303,9682.55899846554,50793.7286281958,TRUE
"72","Employee  72",43473.3789577149,-4400.778535055,39072.6004226599,FALSE
"73","Employee  73",46942.4646929838,1737.21494618803,48679.6796391718,TRUE
"74","Employee  74",49974.6051779948,400.942752603441,50375.5479305983,TRUE
"75","Employee  75",45385.4908049107,679.263124475256,46064.7539293859,TRUE
"76","Employee  76",44832.1183864027,8246.05334899388,53078.1717353966,TRUE
"77","Employee  77",46446.0405497812,6593.84060534649,53039.8811551277,TRUE
"78","Employee  78",42791.0800976679,796.858449466527,43587.9385471344,TRUE
"79","Employee  79",46437.0664814487,-2689.66367118992,43747.4028102588,FALSE
"80","Employee  80",44851.9779299386,5530.47079825774,50382.4487281963,TRUE
"81","Employee  81",49129.5640054159,8781.919273315,57911.4832787309,TRUE
"82","Employee  82",47912.949861493,8759.4750826247,56672.4249441177,TRUE
"83","Employee  83",46933.1810786389,3409.70671270043,50342.8877913393,TRUE
"84","Employee  84",46489.7920261137,-3394.63428943418,43095.1577366795,FALSE
"85","Employee  85",48074.0178050473,-2578.66733474657,45495.3504703008,FALSE
"86","Employee  86",44966.528757941,8049.53953484073,53016.0682927817,TRUE
"87","Employee  87",45517.4691625871,3808.88938205317,49326.3585446402,TRUE
"88","Employee  88",44484.4579021446,3393.51410162635,47877.972003771,TRUE
"89","Employee  89",40439.3608262762,8326.31645258516,48765.6772788614,TRUE
"90","Employee  90",46694.2133288831,5676.92252225243,52371.1358511355,TRUE
"91","Employee  91",45179.5025519095,-2712.29644422419,42467.2061076853,FALSE
"92","Employee  92",43541.4672270417,2996.7967455741,46538.2639726158,TRUE
"93","Employee  93",47440.0163930841,5513.89198750257,52953.9083805867,TRUE
"94","Employee  94",45365.3002926148,9133.66078981198,54498.9610824268,TRUE
"95","Employee  95",41706.440364942,5276.04697039351,46982.4873353355,TRUE
"96","Employee  96",43787.2359668836,-266.48789877072,43520.7480681129,FALSE
"97","Employee  97",40503.0112247914,-2062.16306542046,38440.8481593709,FALSE
"98","Employee  98",44517.6512468606,9972.58950723335,54490.240754094,TRUE
"99","Employee  99",44375.8625700139,-2656.28757886589,41719.574991148,FALSE
"100","Employee  100",43601.7693672329,2286.53291705996,45888.3022842929,TRUE
